0 0   0.563585 0.808741 
0 1   0.479873 0.895962 
0 2   0.746605 0.858943 
0 3   0.513535 0.0149846 
0 4   0.364452 0.165899 
0 5   0.445692 0.00466933 
0 6   0.37788 0.571184 
0 7   0.607166 0.663045 
0 8   0.352123 0.607685 
0 9   0.802606 0.30195 
0 10   0.726676 0.925718 
0 11   0.142338 0.235328 
0 12   0.209601 0.843654 
0 13   0.999695 0.392438 
0 14   0.297281 0.0237434 
0 15   0.0926237 0.0562151 
0 16   0.91879 0.272897 
0 17   0.691183 0.726493 
0 18   0.205359 0.468459 
0 19   0.949156 0.10828 
0 20   0.385235 0.608966 
0 21   0.361339 0.225105 
0 22   0.802881 0.98999 
0 23   0.345561 0.657308 
0 24   0.0635395 0.504807 
0 25   0.949583 0.905118 
0 26   0.303049 0.0703757 
0 27   0.683187 0.877255 
0 28   0.582049 0.177892 
0 29   0.475265 0.503922 
1 0   0.405591 0.568743 
1 1   0.755852 0.475295 
1 2   0.367809 0.0350963 
1 3   0.662984 0.104678 
1 4   0.921384 0.345988 
1 5   0.374981 0.316874 
1 6   0.271889 0.2978 
1 7   0.567278 0.761315 
1 8   0.397656 0.890164 
1 9   0.994629 0.0505081 
1 10   0.194067 0.626759 
1 11   0.197851 0.123325 
1 12   0.743126 0.941069 
1 13   0.336314 0.733085 
1 14   0.707999 0.747215 
1 15   0.144475 0.0610065 
1 16   0.852626 0.115604 
1 17   0.0142521 0.454512 
1 18   0.686148 0.0738853 
1 19   0.201941 0.290353 
1 20   0.232429 0.532579 
1 21   0.160192 0.963042 
1 22   0.924802 0.335948 
1 23   0.995178 0.998016 
1 24   0.625172 0.437727 
1 25   0.0484329 0.290017 
1 26   0.769066 0.201971 
1 27   0.604144 0.466353 
1 28   0.634724 0.828791 
1 29   0.720908 0.375134 
2 0   0.737907 0.905087 
2 1   0.18894 0.698508 
2 2   0.351299 0.0803858 
2 3   0.612049 0.691122 
2 4   0.149113 0.867733 
2 5   0.614704 0.0432142 
2 6   0.976531 0.569201 
2 7   0.173925 0.869045 
2 8   0.744316 0.326914 
2 9   0.0766015 0.820002 
2 10   0.448256 0.298746 
2 11   0.501205 0.323038 
2 12   0.313883 0.959075 
2 13   0.725028 0.943999 
2 14   0.0657369 0.524583 
2 15   0.956114 0.875637 
2 16   0.322123 0.505051 
2 17   0.290292 0.551164 
2 18   0.114536 0.379131 
2 19   0.793359 0.382366 
2 20   0.532151 0.395184 
2 21   0.707877 0.623066 
2 22   0.491501 0.496902 
2 23   0.785363 0.357097 
2 24   0.630848 0.374248 
2 25   0.743278 0.611988 
2 26   0.329844 0.63921 
2 27   0.847072 0.596881 
2 28   0.853969 0.126469 
2 29   0.617145 0.0659505 
3 0   0.624104 0.319407 
3 1   0.661 0.806879 
3 2   0.611103 0.900601 
3 3   0.630177 0.2537 
3 4   0.85519 0.427808 
3 5   0.302286 0.225562 
3 6   0.11063 0.134709 
3 7   0.78811 0.789636 
3 8   0.615223 0.856655 
3 9   0.863582 0.24955 
3 10   0.984832 0.0814234 
3 11   0.426801 0.258797 
3 12   0.232765 0.125095 
3 13   0.0801111 0.0587176 
3 14   0.914701 0.432783 
3 15   0.837184 0.842097 
3 16   0.397687 0.00433363 
3 17   0.954802 0.241096 
3 18   0.255135 0.94528 
3 19   0.890225 0.940977 
3 20   0.786157 0.14243 
3 21   0.383007 0.41792 
3 22   0.659932 0.0648518 
3 23   0.662069 0.802698 
3 24   0.685629 0.689505 
3 25   0.777734 0.868679 
3 26   0.706565 0.551988 
3 27   0.0587786 0.145177 
3 28   0.619984 0.922483 
3 29   0.69454 0.155919 
4 0   0.521439 0.106418 
4 1   0.441725 0.782098 
4 2   0.974395 0.870388 
4 3   0.456618 0.750633 
4 4   0.404706 0.992615 
4 5   0.252083 0.247688 
4 6   0.620319 0.939085 
4 7   0.779656 0.656758 
4 8   0.455458 0.664174 
4 9   0.636341 0.42204 
4 10   0.540574 0.536454 
4 11   0.396954 0.0366222 
4 12   0.196509 0.389416 
4 13   0.070925 0.155889 
4 14   0.454329 0.697348 
4 15   0.684469 0.835719 
4 16   0.199591 0.876003 
4 17   0.987457 0.895718 
4 18   0.442061 0.708518 
4 19   0.285562 0.407636 
4 20   0.710196 0.896054 
4 21   0.397412 0.308603 
4 22   0.570574 0.733695 
4 23   0.736381 0.139317 
4 24   0.272591 0.91113 
4 25   0.517655 0.907437 
4 26   0.51796 0.43852 
4 27   0.0904263 0.0757775 
4 28   0.355083 0.697287 
4 29   0.394848 0.675741 
5 0   0.198706 0.615711 
5 1   0.543992 0.545366 
5 2   0.974578 0.96997 
5 3   0.530961 0.692801 
5 4   0.388623 0.809778 
5 5   0.0608234 0.784478 
5 6   0.321909 0.00915555 
5 7   0.507859 0.758538 
5 8   0.349803 0.94232 
5 9   0.997284 0.562853 
5 10   0.386761 0.284219 
5 11   0.612568 0.0186163 
5 12   0.455702 0.936766 
5 13   0.727287 0.808374 
5 14   0.582598 0.0790124 
5 15   0.462203 0.589434 
5 16   0.816065 0.343577 
5 17   0.267312 0.232093 
5 18   0.371746 0.116855 
5 19   0.628925 0.18302 
5 20   0.902005 0.965209 
5 21   0.901547 0.953398 
5 22   0.890347 0.185461 
5 23   0.264992 0.7322 
5 24   0.170934 0.480941 
5 25   0.806543 0.124638 
5 26   0.573321 0.762047 
5 27   0.727775 0.0153508 
5 28   0.691641 0.0721152 
5 29   0.676626 0.556658 
6 0   0.779504 0.638234 
6 1   0.204596 0.281747 
6 2   0.769219 0.046968 
6 3   0.348582 0.343242 
6 4   0.416517 0.545183 
6 5   0.337992 0.876247 
6 6   0.570025 0.465773 
6 7   0.426801 0.486587 
6 8   0.565813 0.778466 
6 9   0.850551 0.864376 
6 10   0.746849 0.765618 
6 11   0.908322 0.521958 
6 12   0.107639 0.823054 
6 13   0.169836 0.65746 
6 14   0.0637226 0.385662 
6 15   0.807611 0.142857 
6 16   0.346141 0.978423 
6 17   0.0536515 0.637471 
6 18   0.0210578 0.391949 
6 19   0.781884 0.826044 
6 20   0.634266 0.983489 
6 21   0.214789 0.782159 
6 22   0.480605 0.102512 
6 23   0.755821 0.456404 
6 24   0.998749 0.641652 
6 25   0.946104 0.289804 
6 26   0.290384 0.712363 
6 27   0.546678 0.952055 
6 28   0.76516 0.445753 
6 29   0.745537 0.204627 
7 0   0.909818 0.918394 
7 1   0.489395 0.88934 
7 2   0.182928 0.203009 
7 3   0.94113 0.0413526 
7 4   0.0345164 0.544481 
7 5   0.0613727 0.12775 
7 6   0.0503555 0.660237 
7 7   0.315958 0.410535 
7 8   0.221625 0.166448 
7 9   0.507645 0.435072 
7 10   0.339488 0.128574 
7 11   0.733299 0.64333 
7 12   0.514481 0.737175 
